event_id,gamma_track_id,scatter_x_mm,scatter_y_mm,scatter_z_mm,absorber_x_mm,absorber_y_mm,absorber_z_mm,scatter_energy_keV,absorber_energy_keV,total_energy_keV,incident_energy_keV,computed_theta_deg,geometric_theta_source_deg,arm_source_deg,scatter_sector,absorber_sector,scatter_pixel,absorber_pixel,delta_time
3665,710,-39.18545404766425,4.949392418260116,4.4305765773459305,-64.05624856290069,-9.070636544559068,-11.210858266619827,114.728575735661,291.9126845686618,406.6412603043228,440.446,53.74756392891435,49.756054664347985,3.9915092645663677,4,4,21,48,0.0
5215,678,29.713703864704215,24.479253103587734,7.770738111971466,48.53991703694308,42.67236918888791,8.483360278161125,7.289333758149498,379.984950863641,387.2742846217905,440.446,11.340490990865,10.832399713181118,0.5080912776838815,1,1,22,22,0.0
24895,706,-28.969268584737268,27.391885804135597,5.650085465299687,-49.453875212738815,47.61148926141667,-4.361737414225937,34.13806654061767,359.25824222386194,393.3963087644796,440.446,25.50855085509988,27.272722473076904,-1.7641716179770235,3,3,37,34,0.0625
27759,704,-29.4498210417338,-28.63471181710146,-4.777646749094595,-48.53227847658057,-40.09080600839111,-8.23867882822326,8.783846697623414,384.6015311812159,393.3853778788393,440.446,12.474691901735556,13.280181821041344,-0.8054899193057885,5,5,26,17,0.125
36512,732,-39.918637869338376,0.5996192239390086,-7.699883182725358,-70.2122268177838,-10.387286346042332,12.280395439383911,92.13052571583255,319.6166248439046,411.7471505597372,440.446,46.121817893243644,47.128929631946846,-1.0071117387032018,4,4,25,63,0.0625
42858,899,-35.73889133958895,19.173817214678508,11.377599108298202,-65.47792842032014,8.88004389363574,11.442139429086193,122.68197441843294,307.15304498679154,429.8350194052245,440.446,56.490379315719444,49.199204034680044,7.291175281039401,3,4,63,15,0.09375
44035,672,-21.993552302912487,34.36125041420085,9.152068462769748,-49.656941280211534,39.56245912605272,2.2904024494592115,106.39595798379209,304.49357174053523,410.8895297243273,440.446,50.91464264333533,53.276765562050535,-2.362122918715208,3,3,14,52,0.09375
51489,724,39.015281966775845,1.797294016258156,-7.9360260934578974,51.03118638204862,-41.39857619643304,-11.652008963299922,175.60864572038562,254.31585717980255,429.92450290018814,440.446,76.66153114756993,76.43169984824597,0.22983129932396196,0,7,33,48,0.0
68376,641,-39.60852301081682,-1.408267125960121,-1.804241276489083,-42.593055633748456,-49.75056929059353,4.8831842284529206,190.18007037022375,232.333087563465,422.5131579336887,440.446,83.2024579924907,84.84706377472082,-1.6446057822301299,4,5,35,45,0.0
74474,919,-32.92624954759698,-20.169846479958746,-4.0895835293790395,-40.942781540236794,-57.63263648350873,-4.596252886091158,92.16515066637072,338.2727785079189,430.4379291742896,440.446,46.13341002529382,46.62839653636566,-0.49498651107184344,5,5,10,58,0.125
82281,756,38.89631225138477,-1.5572453660909162,7.932579554279572,48.9153137758351,43.66543904138138,-10.939348290979368,181.4139250247217,227.679676903694,409.0936019284157,440.446,79.19537355023567,85.10430356456145,-5.908930014325776,0,1,30,16,0.125
104406,730,-39.53252494605008,-8.199766574949685,2.405632603420811,-51.840987027233304,-40.953295755082664,11.464097398299714,122.82994393500822,289.13828706515693,411.96823100016513,440.446,56.54184530575108,57.894138221530405,-1.3522929157793229,4,5,52,15,0.0
111076,749,37.53853900320764,20.04735039167597,5.282094313070676,44.76742818144568,46.69367315956255,-2.126536869617488,155.93750015524512,249.5641466051005,405.5016467603456,440.446,68.64723898381338,51.302494594602564,17.344744389210817,1,1,5,35,0.0
112616,729,-40.15833275296918,-4.580873598187912,-10.46457194159672,-65.95778170269347,-0.3552665980172297,2.6466906687125653,123.35204753763358,278.7774512350076,402.1294987726412,440.446,56.72358021868012,43.924266273429836,12.799313945250283,4,4,40,36,0.0
114119,652,-39.4488265821857,10.437450361679137,11.082254793714073,-54.88027566172306,45.32576298993237,-1.7282293150973624,161.66069187767948,255.9312631379379,417.5919550156174,440.446,70.89882204013949,60.76992543791211,10.128896602227385,4,3,7,51,0.0625
127692,717,23.8636226510402,-31.263458664583776,4.092855623488123,47.03131783734885,-48.525912438789945,2.13886445061707,19.18777525145543,378.198696022134,397.38647127358945,440.446,18.70986872262836,18.710888297516632,-0.001019574888271535,7,7,21,28,0.0
139390,1338,-18.83212201663789,-34.54752066757576,-3.6569069718232434,-51.83118664084236,-43.41646745208298,-11.848565056626917,88.11765416106184,342.15513743581863,430.27279159688044,440.446,44.7783804098678,46.38672664415951,-1.6083462342917088,5,5,58,16,0.0
151987,675,-22.78670520691082,33.65020915429786,-3.9730427146028586,-43.29088864616621,45.38219419285025,-11.212235285907685,40.49377726348512,359.4881334590809,399.98191072256606,440.446,28.05028060179421,28.00382710069152,0.04645350110268964,3,3,10,24,0.125
159457,768,39.67553189692262,-11.463843193997453,-0.3943978818498469,47.764897197238774,-41.59721219561194,6.957105358893135,107.11478161037827,291.79990189318784,398.9146835035661,440.446,51.15772488881883,59.92205157099518,-8.764326682176353,0,7,3,46,0.09375
162790,667,18.432359389046347,-36.00580595385564,8.547031804700678,11.298039816007933,-62.79953887626365,-2.809339364709563,147.9583924044309,236.91868562277796,384.8770780272089,440.446,65.59988435416744,53.53848631230711,12.061398041860336,7,6,6,59,0.0
192364,721,-1.1706890473075178,-39.78677689701137,-3.961467313018319,-0.9475676055549115,-68.16330701222536,-11.751746576614682,5.383991228463548,388.82252108583384,394.2065123142974,440.446,9.720730010549318,9.892159655269754,-0.17142964472043687,6,6,26,24,0.0
223278,646,24.918038988127904,33.09013199974435,1.4679993300451477,53.369499459987786,-42.343741685816326,-0.5004938352949455,244.47894236897392,170.469747049072,414.9486894180459,440.446,116.576385268602,122.37900484837988,-5.802619579777883,1,7,44,51,0.0
236724,935,-11.251816316898466,-39.746366480009804,-7.108781023177892,-7.550884560780004,-66.4417146931421,0.5019612510759895,67.09685163550617,364.17381352774504,431.27066516325124,440.446,37.67446096824748,34.67944197372871,2.995018994518773,6,6,1,12,0.0
237156,721,38.79090412809072,11.98063567521522,-3.9424039130340014,49.6432480426518,39.846672762435766,-11.457386958155437,154.64778698934597,248.4306814609236,403.0784684502696,440.446,68.14776677360271,51.41294500130577,16.73482177229694,0,1,58,8,0.0
241175,697,26.44330158610326,-31.475658522564512,-12.062423439845436,54.16159248715535,-42.341623168673735,-1.0927917578948607,91.69940530295901,312.7064908864782,404.4058961894372,440.446,45.97748630897712,46.09444506820391,-0.11695875922679022,7,7,16,51,0.0
242114,621,-29.286927170476567,26.167871554741893,8.116064215458188,-48.270107673103375,50.96287027071977,-2.419269672252855,56.064669846065584,344.67989287732223,400.74456272338784,440.446,33.82115908555139,32.12934737941563,1.6918117061357663,3,3,38,27,0.09375
255330,687,38.75177521530242,-12.254358149961195,-5.696344527104614,51.81644989143601,-41.047375082094746,-8.343210976982938,84.88923863204357,311.7722789667722,396.66151759881575,440.446,43.69681325206761,47.82963640846565,-4.132823156398047,0,7,2,49,0.125
291122,682,20.41519015468303,36.11460504894985,1.2683518658651813,52.14591082178417,40.316542552173196,-8.187427396739759,150.6005897106133,253.6217084118143,404.22229812242756,440.446,66.59798928818918,55.3522544973791,11.245734790810083,1,1,60,9,0.0625
296658,693,-23.441264654524996,-33.874807332752994,1.2617038026355292,-11.703357987602052,-62.796219236068225,11.996691156807776,124.02165731425629,281.2532195751349,405.2748768893912,440.446,56.956981955978605,58.13775595667698,-1.1807740006983778,5,6,52,7,0.111328125
306790,666,39.03838932484985,2.635417926933371,0.7574834815400775,66.43665635495839,5.364605278533367,-7.682532084246575,17.362806595200713,370.57935504458965,387.94216163979036,440.446,17.751570178065823,18.240180540093586,-0.48861036202776376,0,0,36,41,0.0
325319,638,38.9558845486789,3.7887356561206826,-2.767432489196127,64.21319403763856,-8.129011705694861,-10.118012213085864,48.613402959781524,352.4284816754977,401.04188463527925,440.446,31.123010701360688,32.175537055534036,-1.0525263541733487,0,0,43,8,0.125
